epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.03999999910593033,0.5844102501869202,4.28342342376709,8.667634010314941,53.25579833984375,8.590033531188965,57.05323791503906,9.547797203063965,0
1,-0.08187603205442429,0.6262730360031128,4.157713890075684,8.20934772491455,48.83893966674805,8.071076393127441,52.69507598876953,9.447842597961426,2.183484446463211e+22
2,-0.09303305298089981,0.6374018788337708,4.123791217803955,7.7852911949157715,44.629295349121094,7.5926995277404785,48.722450256347656,9.348071098327637,8.146811076854967e+28
3,-0.09731035679578781,0.6416414380073547,4.109859466552734,7.397494792938232,40.911720275878906,7.149940490722656,45.135498046875,9.248624801635742,1.0710513741103744e+23
4,-0.09899280220270157,0.6432785987854004,4.103288650512695,7.044321537017822,37.78561782836914,6.7430195808410645,41.826148986816406,9.149600982666016,7.07268149131671e+22
5,-0.09964854270219803,0.6438826322555542,4.0995073318481445,6.722654342651367,34.986576080322266,6.370948314666748,38.871891021728516,9.051057815551758,3.7657081612940347e+22
6,-0.09990029036998749,0.644076943397522,4.096716403961182,6.429623603820801,32.46260070800781,6.032006740570068,36.288352966308594,8.953022956848145,1.5365161239486797e+22
7,-0.0999954417347908,0.6441094875335693,4.094211101531982,6.16225004196167,30.21222686767578,5.72441291809082,33.87932586669922,8.855513572692871,9.087830902904578e+21
8,-0.10003076493740082,0.6440773606300354,4.091722011566162,5.917616367340088,28.231491088867188,5.446503162384033,31.695812225341797,8.758536338806152,5.29645336779837e+21
9,-0.10004348307847977,0.6440181136131287,4.089152812957764,5.6931281089782715,26.488510131835938,5.19644832611084,29.703874588012695,8.662095069885254,2.709338470907568e+21
10,-0.10004774481058121,0.6439461708068848,4.086472988128662,5.486578464508057,24.913759231567383,4.9722981452941895,27.89684295654297,8.566191673278809,1.8227532174386387e+21
